535427,Bakov nad Jizerou,3922,2551,2539,285,3,3,204,1,179,153,27,32,36,2,1,252,2,2,113,864,1,8,42,2,18,4,6,295,4
535443,Bělá pod Bezdězem,3805,2219,2204,215,2,0,214,1,107,153,28,33,33,4,4,218,3,4,61,802,3,3,38,0,9,8,7,253,1
535451,Benátky nad Jizerou,5596,3269,3254,533,12,2,225,3,176,198,58,24,58,4,3,323,0,1,151,1041,1,6,77,1,26,10,6,306,9
535478,Bezno,687,402,401,27,1,0,31,0,14,43,3,4,6,0,0,21,0,4,15,121,0,0,69,0,2,1,0,37,2
565750,Bílá Hlína,85,61,61,2,0,0,5,0,4,8,1,3,0,0,0,7,0,0,5,13,0,0,0,0,0,0,0,13,0
535486,Bítouchov,291,195,195,17,0,0,7,0,10,31,0,3,2,0,0,17,1,0,7,79,0,0,4,0,0,0,0,17,0
535508,Boreč,216,97,97,10,0,0,4,0,9,8,0,1,2,0,3,3,0,0,2,43,0,0,2,0,1,1,0,8,0
535516,Boseň,382,251,250,23,0,0,12,0,36,11,4,3,5,0,0,24,0,0,6,85,0,0,3,0,2,0,0,36,0
570788,Bradlec,891,705,700,135,4,0,17,1,33,38,8,5,8,0,0,104,0,0,67,211,0,1,9,1,8,5,1,44,0
571946,Branžež,204,138,137,15,0,0,6,0,27,5,2,3,0,0,0,16,2,0,8,39,0,1,1,0,0,0,0,12,0
535559,Brodce,836,515,513,46,1,1,26,0,44,43,6,1,9,2,0,38,1,2,18,201,0,1,3,0,1,0,2,65,2
535567,Březina,341,239,236,30,0,0,11,0,29,12,0,3,5,0,0,26,0,0,7,83,0,0,4,0,0,0,1,25,0
535583,Březno,721,472,471,60,2,0,36,0,40,23,4,4,14,1,2,57,0,2,26,146,0,3,6,0,3,2,2,37,1
599514,Březovice,240,143,143,19,0,0,18,0,16,10,1,1,0,1,0,10,0,0,2,42,1,2,6,0,0,0,0,14,0
535605,Bukovno,559,346,338,27,0,0,21,0,36,28,7,4,0,0,0,27,0,0,13,130,0,0,3,1,6,4,0,28,3
570991,Ctiměřice,99,74,74,12,1,0,3,0,3,3,1,0,0,0,0,10,0,0,3,31,0,0,0,0,0,2,0,4,1
535621,Čachovice,696,367,366,36,2,1,37,2,22,49,3,10,6,0,0,25,0,1,15,106,0,2,8,0,3,0,0,37,1
535630,Čistá,608,368,366,45,0,0,27,1,25,30,2,5,5,1,0,32,0,0,19,117,0,0,4,0,1,2,2,46,2
570818,Dalovice,169,120,120,18,1,1,9,0,10,4,1,5,1,0,0,9,0,0,8,39,0,0,5,0,1,1,0,7,0
535656,Dlouhá Lhota,328,239,235,37,0,0,12,0,17,19,5,0,4,0,0,19,0,0,11,78,0,0,4,0,2,1,0,26,0
535672,Dobrovice,2630,1714,1706,189,6,0,156,3,77,111,35,23,13,1,3,172,1,0,44,673,1,8,37,0,4,4,2,141,2
571989,Dobšín,212,148,146,14,0,0,9,0,14,9,1,5,0,0,0,16,0,0,3,50,0,2,4,0,2,0,0,16,1
535702,Dolní Bousov,2052,1289,1283,121,1,4,91,2,97,85,11,27,14,0,1,146,1,0,32,494,0,6,30,1,7,3,0,106,3
535711,Dolní Krupá,194,96,96,10,0,1,13,0,10,9,0,2,3,0,0,3,0,0,1,20,0,0,2,0,1,1,0,20,0
535729,Dolní Slivno,275,163,163,21,2,0,8,1,23,12,0,1,0,0,0,18,0,0,1,57,0,0,3,0,2,0,0,14,0
570940,Dolní Stakory,196,152,152,21,0,0,9,0,9,5,1,2,0,0,0,12,0,0,10,60,1,0,7,0,0,1,0,14,0
535745,Domousnice,213,130,129,10,1,0,12,0,11,17,5,1,5,0,0,14,0,0,2,38,0,0,1,0,2,0,0,10,0
571067,Doubravička,102,70,70,6,0,0,1,0,11,4,0,2,0,0,0,6,0,0,3,29,0,1,0,0,0,0,0,7,0
535818,Horky nad Jizerou,420,268,267,32,1,0,24,0,11,12,4,5,2,0,0,30,0,1,4,103,0,1,3,1,3,1,0,29,0
535834,Horní Bukovina,197,132,132,6,0,0,12,0,19,7,2,4,0,0,0,15,0,0,3,48,0,0,4,0,2,0,0,10,0
599531,Horní Slivno,227,126,126,11,0,0,9,0,20,2,1,0,3,0,0,9,0,0,9,40,1,0,4,0,1,0,0,15,1
535869,Hrdlořezy,517,336,335,55,0,0,27,0,22,32,8,4,6,0,0,19,0,1,8,92,0,0,8,0,0,2,0,49,2
565733,Hrušov,161,102,102,3,0,0,11,1,6,16,0,3,2,0,0,9,0,0,2,29,0,0,3,0,3,0,0,14,0
599522,Husí Lhota,121,95,95,10,0,0,5,0,10,5,1,1,0,0,1,9,0,0,3,34,0,1,3,0,0,0,0,12,0
565784,Charvatce,212,144,143,19,1,0,6,0,6,15,3,1,0,0,0,17,0,0,5,45,0,0,4,3,0,0,0,18,0
535923,Chocnějovice,339,209,207,22,0,0,16,0,21,23,0,3,1,1,0,27,0,0,10,51,0,1,6,0,6,0,0,19,0
535931,Chotětov,801,420,419,48,1,0,16,2,20,38,5,5,6,2,1,41,1,0,16,150,0,0,14,0,4,3,1,42,3
571849,Chudíř,162,111,111,10,0,0,13,0,7,3,2,1,2,0,1,9,0,0,2,39,0,0,5,1,0,1,2,13,0
535966,Jabkenice,353,225,225,22,0,0,15,0,13,19,3,0,2,1,1,23,0,0,4,96,0,0,9,0,2,0,1,14,0
535974,Jivina,362,248,247,26,0,0,34,0,23,24,5,6,3,0,0,22,0,0,5,65,0,1,4,0,1,2,2,21,3
566039,Jizerní Vtelno,277,197,196,20,0,0,13,0,7,4,2,3,2,1,0,17,0,0,9,74,0,0,3,0,0,0,0,40,1
529613,Josefův Důl,331,170,168,22,0,0,34,0,7,12,1,5,2,0,0,12,0,0,2,44,0,0,1,1,0,1,1,22,1
536008,Katusice,630,356,354,22,0,0,16,0,29,41,6,5,1,1,0,39,0,0,5,145,0,0,7,0,1,0,0,34,2
536024,Klášter Hradiště nad Jizerou,706,434,433,30,0,0,44,0,48,31,3,9,4,0,0,67,1,0,19,134,0,1,5,0,1,2,1,33,0
571075,Kluky,66,55,54,7,0,0,4,0,10,3,1,2,0,0,0,6,0,0,3,16,0,0,0,0,0,0,0,2,0
536041,Kněžmost,1595,1034,1029,119,2,1,59,0,97,55,13,5,9,1,2,128,3,2,40,371,1,1,15,0,4,5,2,93,1
571172,Kobylnice,107,87,86,14,1,0,2,0,6,8,1,0,1,0,0,12,0,0,8,18,0,0,2,0,0,0,0,12,1
536067,Kochánky,348,244,243,27,4,0,18,0,13,22,1,1,6,1,0,31,1,0,6,84,0,0,0,0,1,1,0,26,0
570974,Kolomuty,258,179,177,36,0,0,15,0,17,18,2,0,1,0,0,12,0,0,12,48,1,1,6,0,1,0,0,6,1
599557,Koryta,69,53,53,14,0,0,6,0,2,1,1,0,1,0,0,10,0,0,0,13,0,0,0,0,0,0,0,4,1
570826,Kosmonosy,3416,2320,2302,305,3,0,131,0,150,165,36,25,28,3,2,223,0,2,136,776,1,1,80,1,14,5,5,207,3
536121,Kosořice,383,249,249,40,0,0,14,1,14,21,3,0,4,0,1,30,0,0,8,80,0,3,5,0,0,0,2,23,0
566047,Košátky,158,102,102,9,0,0,7,0,4,5,1,0,0,0,0,12,0,0,4,30,0,1,5,0,0,0,0,24,0
571971,Kováň,112,66,66,8,0,0,3,0,4,9,0,0,2,0,0,2,0,0,0,25,0,0,0,0,0,0,0,13,0
572012,Kovanec,108,60,60,10,0,0,4,0,5,3,0,0,0,0,0,4,0,0,0,20,0,1,1,1,0,0,2,9,0
536164,Krásná Ves,153,97,97,10,0,0,4,0,3,12,0,1,2,0,0,4,1,0,5,44,0,0,4,0,1,0,0,6,0
536172,Krnsko,423,293,293,51,0,0,7,1,17,28,4,7,3,1,0,33,0,0,11,84,0,1,6,0,1,0,0,38,0
536181,Kropáčova Vrutice,721,401,401,41,2,0,19,1,31,37,1,4,9,0,1,37,0,0,10,155,0,0,2,0,1,0,0,50,0
536202,Ledce,312,230,230,17,0,0,10,0,16,28,2,4,3,0,0,33,0,0,5,86,0,0,5,0,0,0,0,21,0
536211,Lhotky,106,55,55,2,0,0,5,0,3,1,3,1,0,0,0,2,0,0,2,26,0,0,0,0,0,0,0,10,0
565563,Lipník,242,148,146,24,0,0,14,0,12,21,0,0,0,0,0,18,0,0,0,29,0,0,5,2,1,0,3,17,0
